handle,*special,2-sat,binary search,bitmasks,brute force,chinese remainder theorem,combinatorics,constructive algorithms,data structures,dfs and similar,divide and conquer,dp,dsu,expression parsing,fft,flows,games,geometry,graph matchings,graphs,greedy,hashing,implementation,interactive,math,matrices,meet-in-the-middle,number theory,probabilities,schedules,shortest paths,sortings,string suffix structures,strings,ternary search,trees,two pointers
Sacred_Conqurer,0,0,1,5,5,0,4,5,4,3,1,10,1,0,0,0,0,1,0,3,16,0,7,3,10,0,0,4,4,0,0,4,0,3,0,3,0
arjun_hg,0,0,0,2,0,0,1,0,2,1,0,3,1,0,0,0,0,0,0,1,4,0,2,0,2,0,0,1,0,0,0,2,0,1,0,1,0
DaiMo2,0,0,4,11,7,0,6,5,13,6,7,14,2,0,1,3,1,2,2,8,19,0,6,0,16,0,2,6,2,0,2,5,1,2,0,3,0
zoutlaws,0,0,0,4,2,0,3,3,2,0,1,5,0,0,0,0,0,2,0,1,10,0,3,1,12,0,0,3,2,0,0,4,0,4,0,0,0
Sai170525,0,0,0,2,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,3,0,2,0,4,0,0,1,0,0,0,2,0,3,0,0,0
TeddyIkun,0,0,0,4,0,0,3,1,4,1,0,5,1,0,0,0,1,0,0,1,7,0,2,0,3,0,0,2,1,0,0,4,0,1,0,1,0
Tiantian2021,4,3,95,67,153,2,72,143,177,112,29,235,38,0,4,12,24,18,11,110,254,21,140,16,241,12,2,71,28,0,26,84,2,48,6,83,63
Enk1du,0,0,1,4,3,0,0,3,10,1,3,10,3,0,0,0,1,1,0,1,10,2,5,1,7,0,0,2,0,0,0,2,1,4,0,5,1
taherehmohamad6090,0,0,1,2,3,0,1,4,1,1,0,4,0,0,0,0,2,0,0,1,15,0,8,0,13,0,0,2,0,0,0,11,0,3,1,1,1
bosswire1,0,0,0,3,3,0,3,3,2,0,1,6,1,0,0,0,0,1,0,2,12,0,3,1,8,0,0,3,3,0,0,4,0,3,0,1,0
Acheronl,0,0,0,4,0,0,3,2,3,0,0,4,0,0,0,0,1,0,0,3,9,0,3,0,9,0,0,2,2,0,1,4,0,3,0,0,0
TitanMind,0,0,1,4,13,0,1,7,1,0,0,2,0,0,0,0,0,1,0,1,19,0,12,0,20,0,0,3,0,0,0,10,0,7,0,0,0
isfull,0,0,8,6,8,0,3,6,7,1,2,11,2,0,0,0,3,2,1,3,28,1,15,2,19,0,0,5,0,0,1,11,1,6,0,2,2
anstorm12,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,1,0,1,12,0,6,0,8,0,0,1,0,0,0,7,0,3,1,0,2
mystic02,0,0,2,2,2,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,8,0,1,1,3,0,0,0,0,0,0,3,0,2,1,0,0
friedrice,1,0,1,6,7,0,6,25,3,0,0,2,0,0,0,0,4,3,0,1,36,0,28,0,34,0,0,8,0,0,0,12,0,22,0,1,6
m7uslim,1,1,39,33,106,1,20,102,48,17,4,45,5,0,1,0,12,14,1,12,233,6,174,0,242,2,0,67,0,0,3,71,1,55,2,9,24
dp_ndp,0,0,0,2,2,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,7,0,2,0,3,0,0,1,0,0,0,2,0,1,0,0,0
chen_weilian,0,0,5,4,7,0,0,7,13,9,5,7,6,0,0,1,1,1,1,8,18,0,11,1,12,0,0,3,0,0,1,5,0,2,0,12,2
wertyy123,1,0,0,1,3,0,0,2,2,0,0,3,0,0,0,0,0,1,0,1,11,0,5,0,8,0,0,2,0,0,0,4,0,5,0,0,0
adilkhan11,1,0,2,5,9,0,0,2,3,0,1,4,1,0,0,0,2,2,0,1,17,0,11,0,15,0,0,4,0,0,0,6,0,6,0,1,0
applebottomjeans,0,0,5,5,5,0,3,5,9,4,3,7,3,0,0,1,1,1,1,3,22,1,6,1,12,0,0,5,0,0,0,5,0,5,0,3,1
Anmol001,0,0,0,7,5,0,1,6,3,0,1,6,0,0,0,0,2,2,0,1,19,0,6,0,10,0,0,3,0,0,0,9,0,5,0,0,1
logbasetwo,0,0,0,1,7,0,0,5,1,0,0,2,0,0,0,0,1,0,0,1,17,0,6,0,10,0,0,3,0,0,0,7,0,4,0,0,1
twilighthandle,8,0,9,6,32,0,2,19,5,4,0,11,0,2,0,0,3,2,1,5,53,1,101,1,66,0,0,11,1,0,2,22,0,24,0,3,3
hrhuynguyen,0,0,2,3,14,0,3,21,7,1,0,6,0,0,0,0,3,3,0,1,48,0,41,0,39,0,0,5,1,0,0,13,0,14,1,0,2
Aryy,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,7,0,5,0,7,0,0,0,0,0,0,4,0,3,0,0,0
leo120306,1,0,2,3,4,0,1,6,4,2,1,4,1,0,0,0,0,1,0,5,19,0,12,1,12,0,1,6,1,0,1,5,1,4,0,1,1
naik1233,0,0,1,1,7,0,1,5,2,1,0,3,0,0,0,0,0,0,0,1,9,1,5,1,11,0,0,2,0,0,0,7,0,4,0,1,2
Ashu_Rog,0,0,4,3,8,0,2,7,7,0,0,4,0,0,0,0,4,3,0,1,23,0,10,0,19,0,0,4,1,0,0,7,0,2,0,0,3
free_time,1,0,0,2,3,0,3,1,4,2,1,6,2,0,0,0,3,1,0,2,3,0,5,0,7,0,0,2,1,0,0,2,0,2,0,1,0
rishi563,0,0,1,1,4,0,0,2,3,0,0,2,0,0,0,0,1,1,0,1,8,0,3,0,11,0,0,1,0,0,0,3,0,2,0,0,0
